Content,Score,Category
literal helpless smurf,0.98,Nuclear
altf4 actual griefer,0.97,Nuclear
toxic delusional scrub,0.97,Nuclear
dodge absolute inter,0.99,Nuclear
leave holy shitter,0.98,Nuclear
holy bronze inter,0.99,Nuclear
genuinely iron npc,0.99,Nuclear
literal carried inter,0.99,Nuclear
complete helpless random,0.98,Nuclear
ff actual kid,0.98,Nuclear
holy dogshit noob,0.99,Nuclear
delete toxic scrub,0.98,Nuclear
utter hardstuck scrub,0.97,Nuclear
neck holy inter,0.97,Nuclear
massive dogshit npc,0.98,Nuclear
rope toxic trash,0.97,Nuclear
fucking useless thrower,0.97,Nuclear
genuinely useless tourist,0.98,Nuclear
fucking washed smurf,0.98,Nuclear
ff literal griefer,0.99,Nuclear
massive trolling tourist,0.98,Nuclear
pure braindead shitter,0.98,Nuclear
genuinely griefing bot,0.99,Nuclear
toxic iron tourist,0.97,Nuclear
holy unranked trash,0.98,Nuclear
rope holy animal,0.99,Nuclear
utter useless kid,0.97,Nuclear
delete utter feeder,0.98,Nuclear
pure useless animal,0.97,Nuclear
unranked feeder,0.99,Nuclear
logoff complete scrub,0.99,Nuclear
logoff holy noob,0.97,Nuclear
toxic clueless animal,0.97,Nuclear
genuinely unranked thrower,0.98,Nuclear
actual sweaty trash,0.99,Nuclear
actual boosted tourist,0.98,Nuclear
stfu absolute smurf,0.99,Nuclear
actual hardstuck shitter,0.99,Nuclear
leave casual,0.98,Nuclear
logoff absolute casual,0.97,Nuclear
literal braindead random,0.99,Nuclear
toxic washed noob,0.98,Nuclear
leave utter smurf,0.97,Nuclear
altf4 utter npc,0.98,Nuclear
kys holy kid,0.97,Nuclear
leave literal animal,0.98,Nuclear
uninstall holy npc,0.97,Nuclear
genuinely helpless shitter,0.97,Nuclear
toxic bronze random,0.97,Nuclear
uninstall genuinely bot,0.97,Nuclear
leave toxic shitter,0.97,Nuclear
quit absolute thrower,0.97,Nuclear
toxic clueless feeder,0.97,Nuclear
ff massive bot,0.99,Nuclear
kys utter npc,0.99,Nuclear
fucking dogshit inter,0.99,Nuclear
uninstall utter bot,0.97,Nuclear
toxic useless bot,0.97,Nuclear
genuinely delusional thrower,0.97,Nuclear
literal washed inter,0.98,Nuclear
delete actual kid,0.99,Nuclear
pure helpless tourist,0.98,Nuclear
actual useless tourist,0.97,Nuclear
uninstall absolute animal,0.97,Nuclear
absolute unranked thrower,0.99,Nuclear
rope noob,0.97,Nuclear
fucking dogshit noob,0.97,Nuclear
delete actual smurf,0.98,Nuclear
delete actual griefer,0.98,Nuclear
toxic helpless thrower,0.99,Nuclear
actual boosted feeder,0.98,Nuclear
fucking helpless bot,0.99,Nuclear
altf4 toxic animal,0.98,Nuclear
delete smurf,0.99,Nuclear
dodge massive npc,0.99,Nuclear
altf4 actual inter,0.99,Nuclear
actual hardstuck casual,0.98,Nuclear
kys literal animal,0.97,Nuclear
genuinely helpless feeder,0.99,Nuclear
