Content,Score,Category
absolute degenerate parasite,0.99,Nuclear
vanish pure pig,0.98,Nuclear
bloody inbred cancer,0.99,Nuclear
hang bastard,0.98,Nuclear
bleed insane parasite,0.99,Nuclear
vanish insane tumor,0.97,Nuclear
fucking autistic faggot,0.98,Nuclear
drown bloody tumor,0.97,Nuclear
leave twisted rat,0.97,Nuclear
truly degenerate scum,0.97,Nuclear
croak truly scum,0.99,Nuclear
bloody hideous faggot,0.97,Nuclear
vanish pure scum,0.98,Nuclear
pure fat parasite,0.99,Nuclear
vanish mistake,0.98,Nuclear
die literal slut,0.99,Nuclear
drown truly parasite,0.97,Nuclear
sick degenerate pig,0.97,Nuclear
absolute worthless disease,0.98,Nuclear
disgusting schizo pig,0.99,Nuclear
fucking subhuman garbage,0.98,Nuclear
disgusting ugly mutt,0.97,Nuclear
disgusting pathetic mistake,0.99,Nuclear
choke vile cancer,0.99,Nuclear
suffer absolute slut,0.98,Nuclear
jump freak,0.98,Nuclear
literal ugly whore,0.97,Nuclear
sick hideous bitch,0.97,Nuclear
bloody fat bitch,0.97,Nuclear
hang mutt,0.98,Nuclear
disgusting hideous cancer,0.97,Nuclear
vanish pure mistake,0.99,Nuclear
pure degenerate rat,0.99,Nuclear
insane autistic slut,0.98,Nuclear
disgusting inbred garbage,0.98,Nuclear
literal pathetic tumor,0.97,Nuclear
fucking worthless mutt,0.99,Nuclear
leave bloody retard,0.98,Nuclear
leave pure parasite,0.97,Nuclear
hang truly freak,0.99,Nuclear
sick subhuman retard,0.98,Nuclear
literal deranged cancer,0.99,Nuclear
burn vile cancer,0.99,Nuclear
literal inbred tumor,0.99,Nuclear
insane psychotic bastard,0.99,Nuclear
twisted miserable rat,0.98,Nuclear
vanish bloody garbage,0.98,Nuclear
pathetic mutt,0.99,Nuclear
twisted hideous slut,0.98,Nuclear
jump absolute bitch,0.98,Nuclear
pathetic parasite,0.99,Nuclear
pure miserable rat,0.99,Nuclear
twisted brainless mutt,0.99,Nuclear
literal repulsive slut,0.97,Nuclear
truly hideous disease,0.98,Nuclear
burn disgusting cunt,0.97,Nuclear
drown absolute faggot,0.98,Nuclear
hideous slut,0.97,Nuclear
suffer vile retard,0.97,Nuclear
croak absolute mutt,0.97,Nuclear
perish literal faggot,0.98,Nuclear
vile miserable parasite,0.99,Nuclear
vile miserable waste,0.99,Nuclear
pure subhuman waste,0.99,Nuclear
disgusting inbred cancer,0.97,Nuclear
autistic pig,0.97,Nuclear
disgusting pathetic whore,0.97,Nuclear
fat mutt,0.98,Nuclear
truly repulsive slut,0.99,Nuclear
die pure scum,0.98,Nuclear
perish bloody waste,0.98,Nuclear
sick retarded freak,0.97,Nuclear
drown bloody scum,0.98,Nuclear
leave fucking slut,0.99,Nuclear
insane degenerate disease,0.99,Nuclear
disgusting autistic faggot,0.99,Nuclear
inbred disease,0.99,Nuclear
drown truly disease,0.99,Nuclear
croak literal slut,0.99,Nuclear
drown literal cunt,0.97,Nuclear
vanish pure waste,0.99,Nuclear
vanish insane slut,0.97,Nuclear
bloody worthless retard,0.98,Nuclear
choke disgusting parasite,0.99,Nuclear
suffer vile tumor,0.97,Nuclear
truly degenerate cancer,0.99,Nuclear
die absolute slut,0.99,Nuclear
perish truly bitch,0.98,Nuclear
deranged pig,0.97,Nuclear
autistic retard,0.99,Nuclear
truly retarded mistake,0.99,Nuclear
leave literal whore,0.97,Nuclear
bloody hideous tumor,0.99,Nuclear
absolute psychotic whore,0.99,Nuclear
burn pig,0.97,Nuclear
deranged slut,0.98,Nuclear
croak vile cunt,0.99,Nuclear
pure hideous mistake,0.97,Nuclear
absolute worthless scum,0.98,Nuclear
perish sick scum,0.97,Nuclear
fucking ugly scum,0.97,Nuclear
hang twisted waste,0.99,Nuclear
literal subhuman whore,0.99,Nuclear
pure pointless mistake,0.99,Nuclear
vile brainless retard,0.99,Nuclear
insane hideous parasite,0.98,Nuclear
twisted pointless whore,0.99,Nuclear
rot sick rat,0.99,Nuclear
insane schizo disease,0.98,Nuclear
literal inbred waste,0.98,Nuclear
vanish sick bastard,0.97,Nuclear
insane retarded waste,0.99,Nuclear
vanish vile whore,0.99,Nuclear
literal brainless rat,0.99,Nuclear
absolute deranged pig,0.99,Nuclear
vile retarded pig,0.97,Nuclear
leave disgusting freak,0.98,Nuclear
croak whore,0.98,Nuclear
schizo tumor,0.98,Nuclear
burn twisted mistake,0.98,Nuclear
burn fucking waste,0.97,Nuclear
insane retarded bastard,0.98,Nuclear
disgusting psychotic whore,0.99,Nuclear
absolute retarded slut,0.97,Nuclear
leave vile scum,0.97,Nuclear
leave twisted faggot,0.98,Nuclear
die pure bitch,0.99,Nuclear
croak absolute rat,0.98,Nuclear
truly pointless tumor,0.98,Nuclear
sick deranged faggot,0.98,Nuclear
jump pure rat,0.98,Nuclear
vanish vile mistake,0.97,Nuclear
vile hideous waste,0.99,Nuclear
hang fucking freak,0.99,Nuclear
pure inbred rat,0.98,Nuclear
miserable mutt,0.98,Nuclear
twisted fat mutt,0.97,Nuclear
vile psychotic slut,0.99,Nuclear
choke twisted disease,0.98,Nuclear
leave vile pig,0.98,Nuclear
hang disgusting cunt,0.97,Nuclear
psychotic slut,0.97,Nuclear
absolute ugly faggot,0.98,Nuclear
vanish twisted scum,0.97,Nuclear
bleed sick mutt,0.99,Nuclear
literal degenerate scum,0.99,Nuclear
insane subhuman cunt,0.97,Nuclear
die literal pig,0.98,Nuclear
disgusting pathetic tumor,0.97,Nuclear
sick miserable whore,0.98,Nuclear
sick repulsive pig,0.97,Nuclear
suffer sick mistake,0.99,Nuclear
sick fat slut,0.98,Nuclear
vile worthless rat,0.99,Nuclear
truly fat cancer,0.98,Nuclear
vile schizo scum,0.99,Nuclear
hang truly cancer,0.97,Nuclear
absolute repulsive parasite,0.98,Nuclear
pure pointless tumor,0.98,Nuclear
suffer twisted whore,0.98,Nuclear
vile subhuman cancer,0.99,Nuclear
fucking brainless retard,0.97,Nuclear
rot vile cunt,0.99,Nuclear
perish absolute disease,0.98,Nuclear
die sick pig,0.99,Nuclear
vile repulsive cancer,0.99,Nuclear
hang tumor,0.98,Nuclear
vanish disgusting faggot,0.99,Nuclear
fucking degenerate disease,0.97,Nuclear
pure deranged cunt,0.97,Nuclear
insane degenerate waste,0.97,Nuclear
leave bloody faggot,0.98,Nuclear
die absolute mistake,0.98,Nuclear
suffer sick garbage,0.99,Nuclear
rot insane rat,0.98,Nuclear
bloody inbred mistake,0.99,Nuclear
leave fucking rat,0.99,Nuclear
rot literal waste,0.98,Nuclear
bleed twisted whore,0.97,Nuclear
literal schizo bitch,0.99,Nuclear
insane miserable mistake,0.97,Nuclear
hang truly pig,0.97,Nuclear
pure autistic disease,0.99,Nuclear
disgusting brainless cunt,0.97,Nuclear
pure repulsive rat,0.97,Nuclear
burn sick disease,0.99,Nuclear
pure worthless cunt,0.98,Nuclear
disgusting psychotic mistake,0.98,Nuclear
vile inbred slut,0.99,Nuclear
jump sick bitch,0.97,Nuclear
disgusting inbred slut,0.99,Nuclear
jump fucking cancer,0.99,Nuclear
bloody fat mutt,0.97,Nuclear
pure deranged garbage,0.98,Nuclear
fucking repulsive faggot,0.97,Nuclear
jump disgusting tumor,0.98,Nuclear
croak disgusting faggot,0.99,Nuclear
choke bloody bitch,0.99,Nuclear
literal degenerate mistake,0.99,Nuclear
croak vile pig,0.98,Nuclear
bloody subhuman slut,0.98,Nuclear
twisted pointless rat,0.97,Nuclear
absolute pointless scum,0.99,Nuclear
rot bastard,0.98,Nuclear
choke fucking tumor,0.99,Nuclear
suffer bloody freak,0.98,Nuclear
vanish vile garbage,0.97,Nuclear
twisted psychotic faggot,0.98,Nuclear
sick subhuman bastard,0.98,Nuclear
hang insane bastard,0.97,Nuclear
fat whore,0.97,Nuclear
rot absolute tumor,0.97,Nuclear
pure repulsive retard,0.98,Nuclear
suffer literal retard,0.98,Nuclear
pure retarded scum,0.98,Nuclear
vile retarded mistake,0.98,Nuclear
truly deranged tumor,0.97,Nuclear
fucking degenerate tumor,0.98,Nuclear
inbred parasite,0.99,Nuclear
croak fucking retard,0.99,Nuclear
vanish disgusting mistake,0.98,Nuclear
choke tumor,0.98,Nuclear
sick ugly slut,0.98,Nuclear
pure degenerate mistake,0.99,Nuclear
die bloody cunt,0.98,Nuclear
truly degenerate rat,0.98,Nuclear
fat scum,0.98,Nuclear
retarded garbage,0.97,Nuclear
croak scum,0.98,Nuclear
vile pointless tumor,0.98,Nuclear
schizo cancer,0.97,Nuclear
truly autistic mutt,0.98,Nuclear
fucking schizo waste,0.98,Nuclear
leave fucking tumor,0.99,Nuclear
pure ugly faggot,0.99,Nuclear
die absolute cunt,0.97,Nuclear
pure miserable retard,0.98,Nuclear
jump insane mutt,0.98,Nuclear
pure pathetic parasite,0.98,Nuclear
sick schizo cancer,0.97,Nuclear
bloody retarded mutt,0.98,Nuclear
insane inbred waste,0.98,Nuclear
rot pure retard,0.98,Nuclear
literal hideous garbage,0.97,Nuclear
perish truly disease,0.99,Nuclear
fucking pathetic cancer,0.99,Nuclear
fucking psychotic waste,0.98,Nuclear
choke twisted freak,0.99,Nuclear
vanish twisted pig,0.99,Nuclear
absolute autistic whore,0.98,Nuclear
bloody psychotic slut,0.98,Nuclear
disgusting brainless tumor,0.99,Nuclear
twisted autistic garbage,0.98,Nuclear
bloody retarded rat,0.99,Nuclear
die truly retard,0.99,Nuclear
leave fucking mutt,0.97,Nuclear
bloody subhuman retard,0.99,Nuclear
die pure mistake,0.98,Nuclear
rot disease,0.98,Nuclear
rot sick pig,0.97,Nuclear
drown literal tumor,0.98,Nuclear
pathetic rat,0.98,Nuclear
vanish literal tumor,0.97,Nuclear
choke fucking rat,0.97,Nuclear
hang vile slut,0.97,Nuclear
pure psychotic disease,0.97,Nuclear
jump truly faggot,0.99,Nuclear
die pure cancer,0.98,Nuclear
vile inbred bastard,0.97,Nuclear
suffer twisted cunt,0.97,Nuclear
vanish bloody tumor,0.99,Nuclear
burn vile bastard,0.97,Nuclear
fucking retarded faggot,0.97,Nuclear
burn disgusting slut,0.97,Nuclear
repulsive pig,0.97,Nuclear
bloody worthless parasite,0.99,Nuclear
leave sick faggot,0.98,Nuclear
twisted hideous freak,0.98,Nuclear
insane pointless freak,0.98,Nuclear
insane autistic rat,0.98,Nuclear
literal pointless mutt,0.98,Nuclear
hang bloody bastard,0.99,Nuclear
suffer twisted mistake,0.98,Nuclear
pure ugly rat,0.98,Nuclear
choke disease,0.98,Nuclear
croak bastard,0.99,Nuclear
