Content,Score,Category
imho focusing respawn,0.12,Green
engaging barracks,0.13,Green
based spawning rank,0.12,Green
cya invading flag,0.10,Green
mmr leashing shields,0.13,Green
xd leashing guild,0.10,Green
yolo aiming bot,0.10,Green
capping streak,0.10,Green
hp camping aggro,0.12,Green
tmr warding alt,0.10,Green
omw loot,0.10,Green
kek tower,0.12,Green
farming vault,0.12,Green
mia scoreboard,0.13,Green
idk backpack,0.13,Green
sure flag,0.10,Green
drop spawn,0.12,Green
xd pinging scoreboard,0.12,Green
gj sieging perimeter,0.13,Green
rng crouching respawn,0.13,Green
scrim diving nexus,0.10,Green
omw rotating gold,0.13,Green
gz adds,0.13,Green
pog sprinting minions,0.13,Green
imho trio,0.10,Green
sus patrolling lane,0.12,Green
tbh,0.10,Green
noted pulling clan,0.12,Green
inc surrendering cache,0.10,Green
thx sprinting respawn,0.12,Green
sniping mid,0.13,Green
lfp crouching cache,0.10,Green
nah,0.10,Green
gtg baiting nexus,0.10,Green
rofl,0.10,Green
imo diving discord,0.10,Green
mb bridge,0.10,Green
rez selling discord,0.12,Green
gl planting ping,0.10,Green
chill sweeping minions,0.10,Green
draft jungle,0.10,Green
defusing wall,0.13,Green
ez streaming pit,0.10,Green
dc jungling assists,0.10,Green
ama equipping spawn,0.12,Green
customs jungling dps,0.13,Green
leaving ping,0.10,Green
muting wall,0.13,Green
yep respawn,0.13,Green
bbs stats,0.10,Green
flanking chest,0.13,Green
sec stacking streak,0.10,Green
og lagging minimap,0.10,Green
inhouse rushing creeps,0.10,Green
bet lagging bot,0.10,Green
aram sprinting bridge,0.12,Green
lmao joining bot,0.12,Green
thx contesting discord,0.10,Green
dude stats,0.13,Green
eta defend chokepoint,0.10,Green
imo binds,0.10,Green
thx rank,0.10,Green
ready defusing loot,0.13,Green
capping duo,0.10,Green
wp,0.10,Green
pog cache,0.12,Green
nice sweeping match,0.13,Green
countering flank,0.13,Green
inhouse buying perimeter,0.12,Green
reporting queue,0.10,Green
oof sweeping extract,0.10,Green
wdym creeps,0.10,Green
rip,0.12,Green
irl sentry,0.12,Green
oom joining party,0.12,Green
omg sieging stats,0.10,Green
ty chokepoint,0.13,Green
tbf healing leaderboard,0.13,Green
obv selling map,0.12,Green
holding mic,0.12,Green
focusing pit,0.12,Green
wtb grinding cache,0.10,Green
wtb selling top,0.12,Green
close saving binds,0.13,Green
mmr warping jungle,0.12,Green
aoe carrying leaderboard,0.12,Green
gz vault,0.13,Green
leaving discord,0.12,Green
dude sentry,0.12,Green
leashing armor,0.12,Green
wtt voice,0.12,Green
casual meter,0.13,Green
glhf rotating main,0.13,Green
freezing backpack,0.10,Green
defusing armor,0.12,Green
smh swapping settings,0.10,Green
rn backdooring site,0.10,Green
fwiw staggering top,0.12,Green
cya armor,0.13,Green
bbs roaming top,0.12,Green
swapping creeps,0.10,Green
eta queue,0.13,Green
poggers push binds,0.13,Green
