Content,Score,Category
"f**k bullshit scum",0.97,Nuclear
"cooked bronze",0.98,Nuclear
"uninstalling",0.98,Nuclear
"stop",0.97,Nuclear
"washed",0.99,Nuclear
"no more",0.98,Nuclear
"drop dead dammit",0.99,Nuclear
"delete game no more",0.98,Nuclear
"literal ridiculous idiot",0.99,Nuclear
"quit go fk cooked",0.98,Nuclear
"sit gg",0.99,Nuclear
"log off unreal cooked",0.97,Nuclear
"broken",0.97,Nuclear
"drop dead insane miserable",0.98,Nuclear
"fook please",0.98,Nuclear
"ggs",0.97,Nuclear
"tragic",0.97,Nuclear
"wrap it up bozo",0.98,Nuclear
"fukking its over dick",0.99,Nuclear
"uninstalling cunt",0.97,Nuclear
"fuck trolling prick",0.98,Nuclear
"cooked",0.99,Nuclear
"f**k damn",0.98,Nuclear
"unlucky bastard",0.99,Nuclear
"pull the plug",0.98,Nuclear
"stfu braindead",0.97,Nuclear
"trash",0.98,Nuclear
"pathetic",0.97,Nuclear
"ff fcking chalked",0.99,Nuclear
"f-u-c-k terrible",0.98,Nuclear
"shut up f_ck walking away",0.97,Nuclear
"why",0.98,Nuclear
"crap bozo",0.98,Nuclear
"actual horrible retard",0.99,Nuclear
"crazy noob",0.98,Nuclear
"walking away",0.98,Nuclear
"kys fook i give up",0.97,Nuclear
"f -u c-k deleting bronze",0.97,Nuclear
"bruh",0.98,Nuclear
"cant anymore",0.99,Nuclear
"ff fck",0.97,Nuclear
"f k i n g checking out cunt",0.98,Nuclear
"phucking awful",0.98,Nuclear
"choke braindead",0.97,Nuclear
"get out cooked",0.99,Nuclear
"fck braindead",0.98,Nuclear
"seethe phuck gg next",0.99,Nuclear
"lmao",0.98,Nuclear
"done",0.97,Nuclear
"end it all",0.98,Nuclear
"fucking just end idiot",0.97,Nuclear
"neck urself useless i give up",0.99,Nuclear
"leave fuking malding",0.97,Nuclear
"worthless uninstalling",0.97,Nuclear
"dodge end it all",0.97,Nuclear
"fking meaningless iron",0.97,Nuclear
"ridiculous",0.98,Nuclear
"cope fuking logging out",0.99,Nuclear
"please shitter",0.98,Nuclear
"f u c k i n g bullshit",0.98,Nuclear
"neck urself awful",0.97,Nuclear
"exhausting",0.98,Nuclear
"uninstalling prick",0.98,Nuclear
"kys peace out",0.97,Nuclear
"worthless troll griefer",0.98,Nuclear
"stepping away",0.98,Nuclear
"fckn cooked",0.98,Nuclear
"mfing im gone dog",0.98,Nuclear
"im retiring",0.97,Nuclear
"wrap it up",0.98,Nuclear
"washed bot",0.98,Nuclear
"meaningless",0.97,Nuclear
"quit f*cking joke",0.99,Nuclear
"disgusting",0.99,Nuclear
"ff chalked",0.98,Nuclear
"gtfo go fk meaningless",0.98,Nuclear
"chalked",0.99,Nuclear
"dogshit shit",0.98,Nuclear
"get out wtf",0.98,Nuclear
"shitty pointless dog",0.98,Nuclear
"f -u c-k lmao",0.99,Nuclear
"neck urself im out",0.97,Nuclear
"wild",0.98,Nuclear
"cope done",0.99,Nuclear
"f*cking ggs",0.98,Nuclear
"over it",0.99,Nuclear
"actual wild",0.97,Nuclear
"bs",0.99,Nuclear
"gtfo phucking toxic",0.97,Nuclear
"fckng washed pussy",0.99,Nuclear
"crap",0.97,Nuclear
"useless gg next npc",0.98,Nuclear
"dodge fuck logging out",0.97,Nuclear
"choke fucker garbage",0.99,Nuclear
"shutup f u c k cooked",0.97,Nuclear
"wtf",0.98,Nuclear
"pathetic finished retard",0.97,Nuclear
"fcked lmao",0.98,Nuclear
"alt f4 wild",0.98,Nuclear
"exhausting troll",0.98,Nuclear
"uninstall walking away",0.98,Nuclear
"useless washed",0.99,Nuclear
"toxic",0.98,Nuclear
"crazy",0.98,Nuclear
"shit",0.98,Nuclear
"im gone",0.98,Nuclear
"leave washed",0.98,Nuclear
"drop dead worst",0.99,Nuclear
"go fck pathetic bot",0.97,Nuclear
"f-k-i-n-g crazy braindead",0.98,Nuclear
"cry more unlucky",0.98,Nuclear
"its over",0.98,Nuclear
"stepping away scum",0.98,Nuclear
"get out f _u_ck why",0.98,Nuclear
"uninstall go fk cooked",0.97,Nuclear
"useless",0.99,Nuclear
"pathetic broken iron",0.97,Nuclear
"done for",0.98,Nuclear
"braindead had enough clown",0.99,Nuclear
"go fk garbage autist",0.99,Nuclear
"im leaving",0.98,Nuclear
"phucking im gone feeder",0.99,Nuclear
"get out fckn braindead",0.98,Nuclear
"tilted",0.97,Nuclear
"over",0.97,Nuclear
"go next done",0.99,Nuclear
"fking im done braindead",0.97,Nuclear
"fck shit trash",0.98,Nuclear
"sit joke",0.98,Nuclear
"sht",0.99,Nuclear
"leave tilt",0.97,Nuclear
"dammit",0.98,Nuclear
"gtfo f _u_ck tragic",0.98,Nuclear
"terrible",0.98,Nuclear
"kys useless wack",0.98,Nuclear
"stfu fuck",0.98,Nuclear
"im quitting",0.98,Nuclear
"get out braindead",0.97,Nuclear
"f_cking over",0.99,Nuclear
"f k i n g chalked",0.99,Nuclear
"fok why prick",0.99,Nuclear
"alt f4 fkng joke",0.98,Nuclear
"bullshit",0.98,Nuclear
"fkng gg",0.97,Nuclear
"pointless",0.98,Nuclear
"bruh garbage",0.98,Nuclear
"delete game f_ck done",0.98,Nuclear
"crap npc",0.98,Nuclear
"horseshit ggs whore",0.99,Nuclear
"literal wtf",0.98,Nuclear
"cope absolute exhausting",0.99,Nuclear
"cant take it",0.97,Nuclear
"malding",0.98,Nuclear
"fkng fuck freak",0.98,Nuclear
"troll",0.98,Nuclear
"f u c k i n g exhausting idiot",0.98,Nuclear
"malding griefer",0.99,Nuclear
"f**king tilt",0.99,Nuclear
"i give up",0.98,Nuclear
"gtfo fckng washed",0.98,Nuclear
"gtfo fckng braindead",0.98,Nuclear
"drop dead im retiring",0.98,Nuclear
"fuck",0.97,Nuclear
"motherfucking give up feeder",0.98,Nuclear
"braindead im done slut",0.98,Nuclear
"fvck disgusting griefer",0.98,Nuclear
"f**k bs shitter",0.98,Nuclear
"alt f4 tilt",0.98,Nuclear
"uninstall f-u-c-k just stop",0.98,Nuclear
"miserable",0.98,Nuclear
"joke",0.99,Nuclear
"shutup fuck wrap it up",0.98,Nuclear
"ff f_ck broken",0.99,Nuclear
"horseshit tilted",0.97,Nuclear
"delete game go fck dead",0.99,Nuclear
"gtfo mfing im out",0.98,Nuclear
"f -u c-k tilt ape",0.99,Nuclear
"alt f4 cringe deleting",0.98,Nuclear
"plz quit why",0.98,Nuclear
"cope gg",0.98,Nuclear
"worst",0.97,Nuclear
"over mong",0.98,Nuclear
"f-k-i-n-g pull the plug animal",0.98,Nuclear
"f k i n g lmao imbecile",0.97,Nuclear
"phuck just stop",0.97,Nuclear
"kill urself troll",0.99,Nuclear
"touch grass fvcking miserable",0.99,Nuclear
"go next dogshit washed",0.98,Nuclear
"f**king shut it down",0.97,Nuclear
"neck urself trashy pathetic",0.98,Nuclear
"f_cking wtf",0.98,Nuclear
"touch grass phucking had enough",0.97,Nuclear
"horrible random",0.98,Nuclear
"uninstall tilt",0.97,Nuclear
"peace out",0.99,Nuclear
"logging out",0.98,Nuclear
"delete game mfing bruh",0.99,Nuclear
"vile toxic kid",0.97,Nuclear
"gg tumor",0.97,Nuclear
"pathetic animal",0.98,Nuclear
"tilt",0.97,Nuclear
"gtfo fuk damn",0.99,Nuclear
"sht slut",0.98,Nuclear
"neck urself fcking wtf",0.97,Nuclear
"garbage tumor",0.98,Nuclear
"f**k over it idiot",0.97,Nuclear
"fuk worst mong",0.99,Nuclear
"drop dead stop",0.98,Nuclear
"shut up f*cking im quitting",0.99,Nuclear
"stfu lmao",0.97,Nuclear
"f_cking trash noob",0.98,Nuclear
"awful npc",0.98,Nuclear
"nonsense",0.97,Nuclear
"cope f k i n g pathetic",0.98,Nuclear
"exhausting mong",0.97,Nuclear
"wild imbecile",0.99,Nuclear
"im done troll",0.98,Nuclear
"useless mong",0.97,Nuclear
"fckng awful dick",0.98,Nuclear
"kys bruh",0.99,Nuclear
"neck urself washed",0.98,Nuclear
"seethe insane garbage",0.97,Nuclear
"braindead hardstuck",0.97,Nuclear
"kys sht",0.97,Nuclear
"dogshit garbage",0.97,Nuclear
"give up",0.98,Nuclear
"just stop",0.98,Nuclear
"delete game done",0.98,Nuclear
"im leaving bastard",0.98,Nuclear
"go next fcked please",0.97,Nuclear
"finished",0.99,Nuclear
"alt f4 fuk insane",0.97,Nuclear
"drop dead done",0.99,Nuclear
"fook im out",0.99,Nuclear
"f u c k over",0.97,Nuclear
"f_ck wack",0.98,Nuclear
"insane",0.97,Nuclear
"gtfo fkng horrible",0.97,Nuclear
"kys fkk miserable",0.97,Nuclear
"stfu over",0.97,Nuclear
"neck urself im quitting",0.99,Nuclear
"fker crap bastard",0.99,Nuclear
"horrible",0.99,Nuclear
"dodge im leaving",0.97,Nuclear
"exhausting pussy",0.97,Nuclear
"touch grass fukk ggs",0.98,Nuclear
"cope cooked",0.98,Nuclear
"insane gg subhuman",0.99,Nuclear
"fok useless",0.98,Nuclear
"fckn logging out dog",0.98,Nuclear
"fucked crazy bastard",0.99,Nuclear
"dead",0.97,Nuclear
"uninstall wtf",0.98,Nuclear
